51326;91644;88971;664;10776;90888;97107;930;87438;23714;33246;72109
96821;43647;41707;91062;20037;47660;34652;82087;29652;51614;11015;66187
67104;67934;95662;85259;8546;77032;28958;26815;66683;50539;65189;22993
93315;93110;1022;16079;74364;97582;34309;18699;24437;12839;48005;46478
45823;44862;86472;77354;95916;36599;52350;89866;98532;69704;33735;13696
32573;58513;70797;53560;23115;38325;74380;99917;21721;323;29402;27080
74553;41700;25357;17428;66708;83630;42360;16842;40782;21345;88668;95845
6794;48960;75160;18552;424;25976;69852;35837;69810;64014;3045;53378
75606;34848;74458;71100;1512;89662;1391;49140;18048;59282;77344;72419
97535;55169;47044;81940;16507;12220;16375;65306;38691;75019;55186;47269
89809;48811;9494;6576;58258;73155;46712;11106;38382;70893;39503;42937
88095;48475;7399;2165;98038;97247;48441;93066;20276;72169;49706;56553
48854;75803;34089;45335;13056;44509;77886;65036;42619;95564;66315;49084
97951;73015;36585;89007;12069;96858;17241;37189;44193;28270;81624;75256
48953;47945;81153;10121;69935;60894;23151;113;40597;71164;61331;10930
83334;44992;30210;99370;60425;87391;63244;54828;12155;64082;43773;66172
31105;74546;74875;51747;41021;22338;49403;20173;75454;62122;37227;35790
94245;19396;3648;28548;42987;78668;9292;23073;21116;7199;21398;18770
19221;70541;58195;21383;57877;27812;6504;18289;18606;17680;9218;58984
33503;45776;88514;10094;28589;47548;64714;96174;10026;87111;29333;77885
3602;99374;41918;43875;11258;83646;46042;26986;11003;94756;89972;805
43277;65791;12217;23767;9833;66504;82359;95754;40249;71472;61588;4428
31966;42142;71410;28139;60147;68496;89021;1615;36565;85598;18048;32584
19193;31952;87947;89521;65225;97987;14794;90695;69314;10359;27881;38183
98935;48606;27475;73462;66692;11151;21709;32836;92997;33682;12722;38906
21880;10506;78478;85067;30375;82944;6660;40750;84252;20463;37184;27248
81695;6183;8147;1241;16278;54886;36468;21315;49106;10291;16837;40481
68883;60266;66180;5680;38799;40481;73524;73255;79950;42007;56334;54332
59547;60741;56065;71467;7193;38784;8169;7389;64049;21355;86589;6583
91709;73154;86898;20234;5773;47157;72305;20819;57301;89018;74851;50560
57195;97283;25156;59277;33608;73937;19341;17262;63955;41678;36229;54204
3657;71909;82018;83110;21722;3455;30654;57890;18530;60458;57145;8764
93373;88795;11353;44726;66989;24389;93445;53752;98703;55276;18391;53513
35158;50868;45055;12180;29993;69555;69613;69358;96861;1667;47738;11964
38056;14298;10431;53147;76843;32128;46844;23407;62423;1712;46033;64425
49152;5010;84942;25483;52825;17485;67614;12493;88626;39589;56044;21968
80000;90734;70131;19986;34949;76990;48325;39323;66921;89134;21853;18973
53597;22379;94302;15425;62185;27894;37281;38876;97902;34008;45051;5607
9151;34061;64751;96631;50373;61603;84917;56084;57647;80898;55489;24602
99734;68144;63963;73011;22832;98145;31523;60195;34172;40637;60940;51237
84547;89655;53120;95599;4602;7968;85748;74914;76227;7158;24432;22963
18815;26665;25301;67754;88457;19913;96787;71084;14867;3077;89575;66834
14169;38336;41192;56208;29069;87045;32135;25975;71643;74200;52556;30213
90528;60501;73201;72999;30355;86428;39401;72077;48056;17853;24894;19838
99055;42696;14376;24907;6082;61789;3963;64664;9132;87218;64755;46107
62530;10183;38149;70004;74983;2092;40704;1062;17000;61170;99026;24025
74196;77214;89483;43933;80953;81268;46485;23647;98173;55947;96727;86378
27293;56047;73998;19996;94427;9157;62999;88803;81272;22315;92708;7343
94220;93209;32369;82003;82433;85790;47632;36285;68771;6006;37556;51601
68430;23169;58879;97812;39399;71469;40835;4924;30336;59222;6350;45656
61949;23031;50698;85772;85990;36942;11098;6636;57547;73247;46229;52551
57248;90383;23502;22642;80722;38164;12160;51707;22075;20624;91644;8780
10777;53979;65288;39116;80635;49653;36903;33854;79873;67823;23256;31643
6717;92287;42775;79274;90874;44006;27312;15909;25276;59863;75607;22277
9519;67689;13829;30992;44921;67375;94754;95322;25501;78486;99059;62524
57335;48704;79426;49770;32989;22640;88230;66598;27685;29719;99930;26181
14911;8271;21662;40886;53783;76430;41233;44057;28385;21751;51476;64387
4837;8929;81607;33210;61894;17240;37617;56753;61251;49433;65644;63758
14430;20139;15027;52208;16440;59911;57566;22227;60109;95260;21388;96686
68896;64599;91227;55882;60220;70202;73354;34776;55530;20599;45720;75145